time,open,high,low,close,EMA,VWAP,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1777178700,77472.8,77484.8,77472.8,77477.3,77462.74555154338,77457.4039209578,68.5293613950244,63.348206088789645,,,,
1777178760,77477.3,77488,77477.3,77487.9,77468.33542897819,77457.41939445364,81.01562356259579,67.55579720059644,,,,
1777178820,77488,77579.9,77486.5,77558,77488.26088920525,77460.97054342447,96.15371953692171,73.58881540198556,,,,
1777178880,77558,77740.2,77543.5,77734.8,77543.04735827075,77480.12351360985,99.042424926526,77.36610395575183,,,,
1777178940,77734.8,77777,77689.8,77700.9,77578.12572309947,77490.32779905057,81.44878799441898,79.6659784365503,,,,
1777179000,77700.8,77700.9,77649.8,77665.4,77597.52000685513,77494.73091824485,63.68001524233849,79.50443828609033,,,,
1777179060,77665.4,77727.4,77665.3,77715.3,77623.6933386651,77497.82768280005,75.12290877807627,78.8786404732032,,,,
1777179120,77715.4,77777,77683.7,77763.6,77654.78370785064,77504.16528992174,82.93089198448851,78.83877428727422,,,,
1777179180,77763.6,77775.3,77750,77750,77675.94288388384,77507.50709580239,73.22408760311134,81.03855564228836,,,,
1777179240,77750.1,77774.2,77750,77756.7,77693.88890968743,77510.00903291708,75.35567896623961,80.27170799392592,,,,
1777179300,77756.7,77756.8,77712.4,77727.4,77701.33581864578,77515.33426432681,49.50418425875854,77.57324245979477,,,,
1777179360,77727.5,77746.8,77702.3,77702.3,77701.55008116894,77516.56561501183,34.35820160165082,73.68007791303434,,,,
1777179420,77702.4,77736.7,77702.3,77736.7,77709.36117424251,77518.35978705648,59.70355176110239,71.54259818667019,,,,
1777179480,77736.6,77736.7,77718.3,77735.9,77715.25869107751,77520.06123605566,58.910082225718085,71.35567998835509,,,,
1777179540,77736,77736,77727,77727,77717.86787083806,77520.69226942267,48.216624212568256,69.90477018960823,,,,
1777179600,77727.1,77730.5,77688,77690.9,77711.87501065183,77523.03508396234,22.911997164826815,65.75451116119615,,,,
1777179660,77690.9,77708.4,77682.1,77688,77706.56945272919,77524.00105566553,21.549243898551083,60.42562004416967,,,,
1777179720,77688.1,77706.1,77688,77697.7,77704.59846323382,77524.70835365317,39.57955434312339,56.1782721453552,,,,
1777179780,77697.8,77697.8,77670.9,77677,77698.46547140408,77525.11199450653,22.80333026503024,51.989310878970294,,,,
1777179840,77677.1,77685,77673,77685,77695.4731444254,77526.14742957166,38.03030360923559,50.15718861946294,,,,
1777179900,77685,77685,77684.9,77684.9,77693.1235567753,77526.27535080226,37.89016982627098,47.49770726576257,,,,
1777179960,77684.9,77710,77674.1,77710,77696.8738774919,77527.2381998217,73.98349826721025,46.85860771452841,,,,
