cond,side,rr,n,ndays,nsyms,wr,be,lift_pts,expR,ci_lo,ci_hi,p_neg,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,hold_h
cum3_bot_decile,1,1.0,3557,1008,12,0.5036557930258717,0.5153650869565141,-1.170929393064235,-0.038114082737765245,-0.09965063064844629,0.024820611408948295,0.89875,2336,0.5201198630136986,-0.003957225883831824,1221,0.4721311475409836,-0.10346250010941838,31.020663480461064
cum3_bot_decile,1,2.0,2302,845,12,0.33884297520661155,0.3489007214994004,-1.0057746292788827,-0.04499673323008642,-0.1485608588023416,0.053052251858595655,0.80375,1470,0.35490463215258855,0.0038085339490492955,832,0.3104693140794224,-0.13122719327014593,69.08546915725456
cum9_top_decile,-1,0.25,9873,772,12,0.8014184397163121,0.8196412075021838,-1.822276778587173,-0.03777969841567017,-0.05878344037049811,-0.016318408393948346,1.0,7350,0.7971428571428572,-0.04059636828076176,2523,0.8138888888888889,-0.0295741797837149,5.851767446571458
cum9_top_decile,-1,0.5,6399,741,12,0.6677091477716967,0.6847515289786242,-1.7042381206927582,-0.04106316347583921,-0.08100419045239166,-0.00038320534706577685,0.975,4762,0.6629567408651827,-0.04537394455530282,1637,0.68156766687079,-0.02852318821597011,11.406352555086732
cum9_top_decile,-1,0.75,4804,722,12,0.57125,0.5885596112432364,-1.7309611243236378,-0.046167424961223516,-0.09966858556338498,0.0120423167651435,0.935,3563,0.5655346618018524,-0.05292450416915609,1241,0.587712206952304,-0.02676736596213908,16.961230224812656
cum9_top_decile,-1,1.0,3830,706,12,0.4984317825405123,0.5166501746035377,-1.821839206302539,-0.052678669232588494,-0.11767514838392842,0.02281162529480237,0.9225,2825,0.4860176991150442,-0.07405284416109276,1005,0.5334665334665335,0.0074029667604707475,23.003981723237597
cum9_top_decile,-1,2.0,2410,625,12,0.3251559251559252,0.3485395591321812,-2.3383633976256037,-0.08605322884112655,-0.20051393662467576,0.04936168495254689,0.90125,1771,0.31225296442687744,-0.12141868322988245,639,0.361198738170347,0.011962764464799477,46.60321576763486
cum9_bot_decile,1,0.25,8447,1081,12,0.8049011483366876,0.8164169210479496,-1.151577271126203,-0.0279236542076893,-0.046436727876459354,-0.011958488760641855,1.0,5614,0.812433202707517,-0.01720359057746001,2833,0.7899752912107306,-0.04916701362177585,7.204066532496745
cum9_bot_decile,1,0.5,5243,1031,12,0.6757581537287812,0.6823883463145398,-0.6630192585758587,-0.02398867471737139,-0.06001149477713052,0.004952089047727335,0.94,3430,0.6825072886297376,-0.012540929524731612,1813,0.6629895201323773,-0.045646571027770984,14.531089071142476
cum9_bot_decile,1,0.75,3838,973,12,0.5844189682126107,0.5866070721797804,-0.2188103967169619,-0.018393225761592736,-0.06834909542274754,0.026968467171805306,0.795,2525,0.5968316831683168,0.004687240807569379,1313,0.5605483625285606,-0.06277873839459683,22.18206096925482
cum9_bot_decile,1,1.0,3064,903,12,0.5107702349869452,0.5151582839634932,-0.4388048976547987,-0.023682116911804215,-0.08410928903034838,0.042839694241937065,0.78,2000,0.526,0.008045597966669009,1064,0.48214285714285715,-0.08332067871344559,31.05687010443864
cum9_bot_decile,1,2.0,1868,735,12,0.35335120643431633,0.3485551909967657,0.4796015437550649,-0.0011991090731674865,-0.1164914874474117,0.11470703330656896,0.53375,1178,0.37446808510638296,0.061973312408838986,690,0.3173913043478261,-0.10904999676273795,69.81089400428266
cum21_top_decile,-1,0.25,9823,759,12,0.8024025246869592,0.819508165899849,-1.7105641212889822,-0.03649255427761897,-0.05516903473934799,-0.01672358528682499,1.0,7325,0.7995904436860068,-0.03732916942692905,2498,0.8106485188150521,-0.034039309294153636,6.229105161356001
cum21_top_decile,-1,0.5,6234,731,12,0.6632980429900546,0.6846277054192152,-2.132966242916068,-0.04745119878434662,-0.08093910101516243,-0.010727263745469102,0.99125,4688,0.659556313993174,-0.05025435295003821,1546,0.6746442432082794,-0.03895107800248234,12.017885787616297
cum21_top_decile,-1,0.75,4677,704,12,0.5648920248022237,0.5884178641459933,-2.3525839343769617,-0.05704385905069272,-0.10933203088549055,-0.005602771228919263,0.99375,3518,0.5622512791358727,-0.05851501610550281,1159,0.5729076790336497,-0.052578345229448625,17.48995082317725
