rule,rr,n,wr,be,expR,ci_lo,ci_hi,R_per_month,tpm,n_tr,e_tr,wr_tr,n_te,e_te,wr_te,hold_h,nights,costR,stop_frac,slip_headroom_bps,lose_streak,years,atr_mult
S_dntrend_rsi60,1.5,148,0.42567567567567566,0.4292389987620592,-0.019058909298340265,-0.19278779760259032,0.14741917937531748,-0.04669833581842206,2.450210297316896,102,-0.05171625519540749,0.4117647058823529,46,0.05335520551689571,0.45652173913043476,16.88006756756757,0.6013513513513513,0.08324809848752945,0.01642567429133292,0.0,9,2021:+0.139(23)  2022:+0.052(42)  2023:-0.432(18)  2024:-0.151(19)  2025:+0.003(32)  2026:+0.168(14),1.0
S_dntrend_rsi60,2.0,144,0.3888888888888889,0.35934139596023273,0.07895686216676825,-0.13385323334774843,0.281564487574552,0.18818107005744916,2.3833402809243314,99,0.03664338632058611,0.37373737373737376,45,0.17204650902836896,0.4222222222222222,20.223379629629633,0.7430555555555556,0.08770980449989842,0.01629658458889684,5.8,9,2021:+0.167(22)  2022:+0.192(40)  2023:-0.459(18)  2024:+0.029(19)  2025:+0.162(31)  2026:+0.194(14),1.0
S_dntrend_at_200,0.25,514,0.8463035019455253,0.8485787254305894,-0.01366800593618267,-0.05541771460445235,0.026350137179160626,-0.11887260019925729,8.697142857142858,349,0.009661611970782257,0.8624641833810889,165,-0.06301368260000544,0.8121212121212121,4.401750972762646,0.11673151750972763,0.07154738336808929,0.015782476798395253,0.0,4,2021:+0.099(58)  2022:+0.022(68)  2023:-0.031(98)  2024:-0.006(125)  2025:-0.070(119)  2026:-0.045(46),1.0
S_dntrend_at_200,0.33,453,0.7969094922737306,0.7981006075259294,-0.012711970051829155,-0.06204830803623674,0.03544247460318586,-0.09743714445530227,7.664991662034463,303,0.015320754846460337,0.8151815181518152,150,-0.06933807434637394,0.76,5.775386313465783,0.16556291390728478,0.07260159477589098,0.015986994929645268,0.0,4,2021:+0.115(54)  2022:+0.042(65)  2023:-0.034(82)  2024:-0.014(102)  2025:-0.074(107)  2026:-0.058(43),1.0
S_dntrend_at_200,0.5,365,0.7150684931506849,0.7104866508978764,-0.003632049667915988,-0.07269352818425384,0.06527903683526849,-0.02243149029480121,6.175986659255142,236,0.04021852228345656,0.7415254237288136,129,-0.08385480145492313,0.6666666666666666,8.471689497716895,0.2876712328767123,0.07623478939394338,0.015880663198944565,0.0,5,2021:+0.202(36)  2022:+0.093(57)  2023:-0.058(66)  2024:+0.010(77)  2025:-0.071(95)  2026:-0.119(34),1.0
S_dntrend_at_200,0.75,311,0.6366559485530546,0.6110459065059979,0.033818682154336026,-0.07112282810791579,0.13751885785549633,0.17796334239352665,5.262279043913285,200,0.08743648628859187,0.665,111,-0.06278997394342227,0.5855855855855856,11.252679528403,0.39228295819935693,0.08032922781350964,0.015810416280181053,2.4000000000000004,9,2021:+0.379(33)  2022:+0.227(50)  2023:-0.034(57)  2024:-0.075(60)  2025:-0.039(82)  2026:-0.130(29),1.0
S_dntrend_at_200,1.0,267,0.5692883895131086,0.5364109183158868,0.054472115932261374,-0.08873188644519203,0.18602940805964366,0.24609284758039782,4.517776542523625,167,0.09381428329242712,0.5868263473053892,100,-0.011229303559215418,0.54,14.563670411985019,0.50187265917603,0.08410466309395587,0.01580482425083246,3.8000000000000003,9,2021:+0.442(24)  2022:+0.292(47)  2023:-0.112(48)  2024:-0.069(48)  2025:+0.045(76)  2026:-0.188(24),1.0
S_dntrend_at_200,1.5,230,0.4956521739130435,0.4315996454136831,0.14851925842502137,-0.035801771497371765,0.3180059343486587,0.5779950150557308,3.8917176209005,143,0.19068629831632464,0.5104895104895105,87,0.07921021584506323,0.47126436781609193,19.5,0.7043478260869566,0.09061117635758732,0.01585048055635799,10.200000000000001,10,2021:+0.606(21)  2022:+0.411(37)  2023:-0.124(40)  2024:+0.095(45)  2025:+0.155(66)  2026:-0.160(21),1.0
S_dntrend_at_200,2.0,199,0.4271356783919598,0.3638315117227792,0.17825703743043755,-0.034119336298845955,0.3819542677058762,0.60022384639084,3.367181767648694,125,0.19657441227175204,0.432,74,0.14731552587416305,0.4189189189189189,29.373534338358457,1.1055276381909547,0.10314999774544184,0.01587814853010168,12.4,10,2021:+0.615(16)  2022:+0.504(34)  2023:-0.114(35)  2024:+0.040(40)  2025:+0.227(54)  2026:-0.066(20),1.0
S_volspike25_dn,0.25,178,0.8820224719101124,0.8454025578799648,0.031746120446675984,-0.027297307795771646,0.08803266214879472,0.09439032705613687,2.9732869946954454,113,0.030101117811358068,0.8761061946902655,65,0.03460589425884407,0.8923076923076924,4.448970037453184,0.15168539325842698,0.07078196944096446,0.017194497265271145,2.4000000000000004,2,2021:-0.100(12)  2022:+0.027(37)  2023:+0.070(30)  2024:+0.044(34)  2025:+0.040(47)  2026:+0.021(18),1.0
