label,risk,heat,fills,total,cagr,maxDD,mean_mo,med_mo,worst_mo,pos_mo,ge10,n_mo,breach,breach_dt,survived
IS_k16,0.01,0.02,32,0.22375420043192418,3620.7858451959232,0.06938113885168654,0.22375420043192418,0.22375420043192418,0.22375420043192418,1.0,1.0,1,daily_loss,2021-01-11 16:34:00+00:00,False
IS_k16,0.01,0.03,43,0.35362180557848766,217069.3246919501,0.0793302990507607,0.35362180557848766,0.35362180557848766,0.35362180557848766,1.0,1.0,1,daily_loss,2021-01-11 14:05:00+00:00,False
IS_k16,0.01,0.06,72,0.673385101252479,1186497587.8232582,0.0986042152864432,0.673385101252479,0.673385101252479,0.673385101252479,1.0,1.0,1,daily_loss,2021-01-11 14:03:00+00:00,False
IS_k24,0.001,0.01,23948,41.48289692032567,1.0139167673293854,0.144688909352335,0.061097638143900915,0.06644266977341506,-0.06069415693703095,0.7846153846153846,0.3076923076923077,65,daily_loss,2026-05-12 01:34:00+00:00,False
IS_k24,0.001,0.02,3502,1.7798032775239507,7.7676764296677945,0.06600102930929123,0.19279371302503712,0.24838408481576835,0.014816004453732434,1.0,0.6666666666666666,6,daily_loss,2021-06-23 00:07:00+00:00,False
IS_k24,0.001,0.03,1004,0.8235639583084042,145.53480860906893,0.03897236767034883,0.3544381544375781,0.3544381544375781,0.2498496470007261,1.0,1.0,2,daily_loss,2021-02-15 02:13:00+00:00,False
IS_k24,0.001,0.06,1073,0.916334622976898,220.22447014049527,0.03928485777738156,0.3892273685392146,0.3892273685392146,0.27253093105506276,1.0,1.0,2,daily_loss,2021-02-15 02:14:00+00:00,False
IS_k24,0.002,0.01,3828,4.593734965561401,1.9405994553296195,0.09537740880560197,0.09226739111527114,0.09817534607813738,-0.03459095252378219,0.8,0.45,20,daily_loss,2022-08-08 02:40:00+00:00,False
IS_k24,0.002,0.02,671,0.9375177820166436,124.4093211070498,0.06558438681527921,0.39199240157185933,0.39199240157185933,0.38080919911689004,1.0,1.0,2,daily_loss,2021-02-20 22:02:00+00:00,False
IS_k24,0.002,0.03,174,0.29472168355583817,35684.608366029,0.04994629196749961,0.29472168355583817,0.29472168355583817,0.29472168355583817,1.0,1.0,1,daily_loss,2021-01-11 16:32:00+00:00,False
IS_k24,0.002,0.06,230,0.5216633858006223,25066640.045322534,0.04985045518907935,0.5216633858006223,0.5216633858006223,0.5216633858006223,1.0,1.0,1,daily_loss,2021-01-11 16:32:00+00:00,False
IS_k24,0.0035,0.01,2022,3.5428885018868037,1.3286859325184919,0.09231601715754718,0.07282823945465361,0.07760450944820996,-0.06235827064121657,0.8636363636363636,0.36363636363636365,22,daily_loss,2022-10-18 00:24:00+00:00,False
IS_k24,0.0035,0.02,89,0.21530342819870718,2732.935984408197,0.05925985419768159,0.21530342819870718,0.21530342819870718,0.21530342819870718,1.0,1.0,1,daily_loss,2021-01-11 16:47:00+00:00,False
IS_k24,0.0035,0.03,120,0.34108630431040043,148804.45484974695,0.06607331752773851,0.34108630431040043,0.34108630431040043,0.34108630431040043,1.0,1.0,1,daily_loss,2021-01-11 14:11:00+00:00,False
IS_k24,0.0035,0.06,181,0.6536026129926737,732258068.180484,0.06581511003641903,0.6536026129926737,0.6536026129926737,0.6536026129926737,1.0,1.0,1,daily_loss,2021-01-11 14:06:00+00:00,False
IS_k24,0.005,0.01,496,0.45867456643756177,1.2398008863718908,0.12672164709975767,0.06935534337382158,0.10933265520834845,-0.061762192576831354,0.6666666666666666,0.5,6,daily_loss,2021-06-21 21:57:00+00:00,False
IS_k24,0.005,0.02,71,0.2285000553057559,4236.822247563192,0.06460159569478477,0.2285000553057559,0.2285000553057559,0.2285000553057559,1.0,1.0,1,daily_loss,2021-01-11 16:34:00+00:00,False
IS_k24,0.005,0.03,91,0.3224994282450333,84455.63143167396,0.07447220225037098,0.3224994282450333,0.3224994282450333,0.3224994282450333,1.0,1.0,1,daily_loss,2021-01-11 14:05:00+00:00,False
