feature,side,bin,lo,hi,n,exp_r,lift,wr,n_test,exp_r_test
pos96,short,0,-inf,0.1704130966426945,14007,-0.2160172142334361,0.04312121189476184,0.32355250945955594,7300,-0.2569301645732281
tbi_ma8,long,9,0.026268263687462507,inf,14012,-0.21613110579038547,1.0591390002731975,0.3635455324007993,8925,-0.36589340755818234
atr_rank,short,6,0.5916666666666667,0.7,14070,-0.21613369885880765,0.04300472726939028,0.3316986496090974,5390,-0.26109839502948107
dq,long,6,0.03135583097929944,0.07012020177971123,14015,-0.21617868458028996,1.059091421483293,0.3339279343560471,4239,-0.37299367432462116
minofday,long,6,855.0,1005.0,14602,-0.21634052540537035,1.0589295806582126,0.3354335022599644,5370,-0.29517500296778054
since_hi24,short,2,4.0,7.0,14625,-0.21669860169441046,0.042439824433787465,0.3392820512820513,5286,-0.3190817161696469
range_rank,short,7,0.7041666666666667,0.8083333333333333,13956,-0.21690060844873657,0.04223781767946136,0.3272427629693322,5361,-0.22324732828308463
vol_per_trade_z,short,7,0.49042303123008346,0.851910273388845,13958,-0.21717138011825263,0.0419670460099453,0.3365095285857573,4723,-0.2938042435483094
to_hi480,long,4,8.742911942368442,10.759022358597939,13969,-0.21720862619614043,1.0580614798674426,0.3361013673133367,4671,-0.3735519819854606
flow_eff,long,0,-inf,-0.02652549215181598,14016,-0.21732482757653354,1.0579452784870493,0.3261986301369863,4897,-0.31065789496259827
disp96,long,8,5.459478827638739,8.335625828814472,14007,-0.21773440191057458,1.0575357041530085,0.3373313343328336,5352,-0.4071967088998597
tbi,long,6,0.015619430883850404,0.03500363472191106,14015,-0.217783971260503,1.05748613480308,0.3333571173742419,4235,-0.37260574253282375
tbi_ma8,long,8,0.016117273248382327,0.026268263687462507,14011,-0.21784991967672412,1.0574201863868589,0.34258796659767327,4787,-0.41752646313014885
atr_rank,long,7,0.7,0.8083333333333333,13912,-0.2182505357836394,1.0570195702799436,0.3229585968947671,5229,-0.23517387516811564
persist6,long,8,0.6224576050217369,0.770002493049143,14016,-0.2184295051813843,1.0568406008821987,0.337685502283105,5283,-0.36601743299400374
tbi_ma24,short,6,0.000806052241266576,0.004225279888668733,14001,-0.21849023325573513,0.040648192872462796,0.3346903792586244,3761,-0.27134173833301367
tbi_ma8,short,1,-0.03147566513947565,-0.021120217641807285,14010,-0.21854335758899143,0.0405950685392065,0.34104211277658814,5047,-0.28737769373945293
ats_z96,short,7,0.4888859152441898,0.8542232187011322,13958,-0.21876803005984513,0.0403703960683528,0.3369393895973635,4800,-0.2710776643173451
absorb,long,4,-0.05853751873216479,-0.008863391044743606,14003,-0.2187686520179971,1.056501454045586,0.3300721274012712,4618,-0.30352786441438084
tbi_ma8,long,5,-0.0024144065571653425,0.0031175625968325915,14012,-0.2190681109482641,1.0562019951153188,0.33421353125892095,3754,-0.3224289047121754
absorb,long,7,0.09140961231022182,0.15360264196877746,14003,-0.21930257139175646,1.0559675346718265,0.3397129186602871,4709,-0.36590266770271596
dq_z96,long,3,-0.5649229972456685,-0.2793843188276325,13958,-0.21936491541145497,1.055905190652128,0.3392319816592635,5122,-0.3389831432944064
