feature,thr,dir,n,frac,exp_r,lift,wr,monthly_R,pos_months,worst_month_R
disp24,1.1959383480242862,1,1546,0.45591271011501033,0.2029295536653784,0.060329518709073965,0.3874514877102199,4.753471060101138,0.4696969696969697,-18.890874045444967
tbi_z24,-0.6928965815821089,-1,721,0.21262164553229135,0.20197405635013793,0.05937402139383349,0.3633841886269071,2.2064135549765074,0.4393939393939394,-11.715588782582344
range_per_trade,2.2250103860663018e-08,-1,552,0.1627838395753465,0.20194560516988475,0.059345570213580306,0.375,1.8274421976028914,0.39344262295081966,-14.305983286426036
tbi_ma96,-0.008843789479787334,-1,1171,0.34532586257741077,0.20166666317641158,0.05906662822010714,0.36464560204953034,3.578055493629969,0.45454545454545453,-15.980671148422383
tbi_ma96,-0.007953161537149518,-1,1349,0.39781775287525806,0.20151820360705663,0.058918168650752195,0.36619718309859156,4.118909949483628,0.5,-15.980671148422383
dq_cum24,-0.41526682970386936,-1,1365,0.40253612503686226,0.20132022428334775,0.058720189327043315,0.36556776556776555,4.163668274951057,0.5303030303030303,-17.033249431103933
tbi_ma24,-0.008718666969190166,-1,1368,0.4034208198171631,0.20082135803509468,0.058221323078790244,0.3654970760233918,4.162479057454689,0.5303030303030303,-17.033249431103933
atr_rank,0.39166666666666666,-1,748,0.22058389855499852,0.20068331255316518,0.058083277596860744,0.39705882352941174,2.345486215465118,0.421875,-12.072467678973926
tbi_z96,-0.11312598916609008,-1,1404,0.4140371571807726,0.20055730414831852,0.05795726919201408,0.36253561253561256,4.266400833700594,0.48484848484848486,-15.459855882326298
dq_z96,0.13386080330224834,-1,1781,0.5252138012385726,0.20029130694378153,0.05769127198747709,0.36384053902302077,5.404830570710226,0.48484848484848486,-22.854443483759578
dq,-0.009260510838984487,-1,1848,0.5449719846652905,0.2002735462083708,0.05767351125206635,0.36363636363636365,5.607659293834383,0.5757575757575758,-21.61470094179289
since_lo24,18.0,1,1275,0.3759952816278384,0.20005810217748063,0.05745806722117619,0.3803921568627451,3.8647587920649666,0.5151515151515151,-20.15944522955242
disp96,5.5159421849735075,1,948,0.2795635505750516,0.19994287880467998,0.05734284384837554,0.39029535864978904,2.961653892294322,0.296875,-15.58239081781409
disp24,2.0754411876405614,1,1365,0.40253612503686226,0.1998865844553445,0.05728654949904005,0.38974358974358975,4.134017996690078,0.4090909090909091,-19.320025689512757
pos96,0.8486378399822634,1,1173,0.34591565909761135,0.19962614398648032,0.05702610903017588,0.39471440750213127,3.6024841060944834,0.36923076923076925,-19.34723324096266
tbi_z24,0.007411767277753444,-1,1613,0.4756708935417281,0.19945378872847827,0.05685375377217383,0.36577805331680097,4.87452971543993,0.4393939393939394,-17.799875035990794
pos24,0.8400941896371841,1,1112,0.3279268652314951,0.19938518035039024,0.0567851453940858,0.3947841726618705,3.411020316148214,0.4,-19.43038884645283
tbi,-0.004717452074794661,-1,1852,0.5461515777056916,0.19907091442244493,0.05647087946614049,0.36285097192224625,5.58605050773285,0.5757575757575758,-21.61470094179289
tbi_ma24,-0.009830359625567444,-1,1225,0.3612503686228251,0.19905870025433714,0.0564586652980327,0.363265306122449,3.694650118357015,0.5606060606060606,-19.820327252192584
dn_wick,0.2162374505894289,1,1665,0.4910056030669419,0.19904558517248436,0.05644555021617992,0.36156156156156155,5.0213772623058555,0.5303030303030303,-21.77391586707862
absorb_z,0.14432144265699018,-1,1641,0.48392804482453555,0.1990363236002113,0.05643628864390687,0.3692870201096892,4.94876677315071,0.5151515151515151,-20.75481609224091
tbi_ma8,-0.006975433369952805,-1,1677,0.4945443821881451,0.1989538574911591,0.05635382253485466,0.3661299940369708,5.055236651707179,0.45454545454545453,-17.22280066611503
dq_z96,-0.5169205587146055,-1,876,0.2583308758478325,0.19891267459990586,0.05631263964360142,0.365296803652968,2.6401136810532955,0.3787878787878788,-10.983341874437496
disp24,1.6201275266414796,1,1461,0.43084635800648774,0.1988471141672993,0.056247079210994866,0.3887748117727584,4.401752027248855,0.3787878787878788,-17.608052095771498
to_lo96,7.2314404811049275,1,1163,0.34296667649660867,0.19875116720720823,0.05615113225090379,0.3834909716251075,3.611681366593487,0.375,-17.6382970718143
flow_eff,0.22848754152139378,-1,984,0.2901798879386612,0.19857069998158336,0.05597066502527892,0.375,2.960508617907243,0.5303030303030303,-14.490278237981778
pos24,0.24937570139822363,-1,1126,0.33205544087289884,0.19850043569196962,0.055900400735665184,0.3703374777975133,3.38653773619936,0.36363636363636365,-19.738187751264928
tbi_z96,0.13364065910184175,-1,1784,0.5260984960188735,0.19822260184546944,0.055622566889165004,0.3632286995515695,5.358016995338144,0.48484848484848486,-23.871959391716086
to_lo96,2.5938543654278363,-1,1262,0.37216160424653494,0.19820761779316107,0.05560758283685663,0.36687797147385104,3.7899699038631707,0.3484848484848485,-16.08783328705754
